"Adress","Area","Date","Fee","Price","Price Per SQM","Size","index","timestamp","timestampString","uid","url","url_uid"
"Götgatan 128, 3tr","LägenhetLägenhet                    Södermalm,              Stockholms kommun","Såld 3 februari 2023","2 798 kr/mån","Slutpris 4 850 000 kr","74 615 kr/m²","65 m²                                   2 rum",1,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","bbcR8OjQt5f0EriklLFM","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Möckelvägen 32","LägenhetLägenhet                    Årsta,              Stockholms kommun","Såld 3 februari 2023","3 281 kr/mån","Slutpris 2 650 000 kr","63 095 kr/m²","42 m²                                   2 rum",2,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","uk6ZHHepLVJmFTqQHy0Z","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Heleneborgsgatan 30","LägenhetLägenhet                    Södermalm - Högalid,              Stockholms kommun","Såld 2 februari 2023","2 451 kr/mån","Slutpris 4 500 000 kr","97 826 kr/m²","46 m²                                   2 rum",3,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","cjyLRjgOnOMK82EonWDr","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Körsbärsvägen 10, 5tr","LägenhetLägenhet                    Östermalm,              Stockholms kommun","Såld 2 februari 2023","2 664 kr/mån","Slutpris 5 025 000 kr","94 811 kr/m²","53 m²                                   2 rum",4,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","Q6siuV1K48MIikhcKHvj","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Anna Steckséns Gata 15, 10 tr","LägenhetLägenhet                    Vasastan Hagastaden,              Stockholms kommun","Såld 2 februari 2023","2 387 kr/mån","Slutpris 4 900 000 kr","128 947 kr/m²","38 m²                                   2 rum",5,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","0FTq9jrx3XABUYK6ZuuZ","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Hälsingegatan 10B","LägenhetLägenhet                    Vasastan,              Stockholms kommun","Såld 2 februari 2023","2 912 kr/mån","Slutpris 5 760 000 kr","108 679 kr/m²","53 m²                                   2 rum",6,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","TcSO6njrTk53bXTyP2KO","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Lorensbergsgatan 5B, 5 tr","LägenhetLägenhet                    Södermalm Högalid,              Stockholms kommun","Såld 2 februari 2023","1 878 kr/mån","Slutpris 4 500 000 kr","118 421 kr/m²","38 m²                                   2 rum",7,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","u4PiMT03ltjAfqMv6YXC","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Ringvägen 124","LägenhetLägenhet                    Södermalm / Skanstull,              Stockholms kommun","Såld 2 februari 2023","1 651 kr/mån","Slutpris 3 350 000 kr","88 158 kr/m²","38 m²                                   2 rum",8,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","I2sVkiifZNfc9UHEtP6K","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Tulegatan 42, 6tr","LägenhetLägenhet                    Vasastan,              Stockholms kommun","Såld 2 februari 2023","2 528 kr/mån","Slutpris 4 900 000 kr","100 000 kr/m²","49 m²                                   2 rum",9,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","j8c0hE1SLS6hjQ1gJSEQ","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
"Eriksbergsgatan 1A, 5tr","LägenhetLägenhet                    Östermalm,              Stockholms kommun","Såld 2 februari 2023","1 770 kr/mån","Slutpris 6 900 000 kr","127 778 kr/m²","54 m²                                   2 rum",10,1675427967343,"Fri, 03 Feb 2023 12:39:27 GMT","VN1PNw0j9tDdtVrhYnqP","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=473448&location_ids%5B%5D=898472&location_ids%5B%5D=925970&location_ids%5B%5D=473440&location_ids%5B%5D=473359&item_types%5B%5D=bostadsratt&rooms_min=2&rooms_max=2&sold_age=12m","1"
