area,adress,price,price_per_sqm,monthly_fee,size_in_sqm,date_sold
Södermalm,"Götgatan 128, 3tr",4850000,74615,2798.0,65,2023-02-03
Årsta,Möckelvägen 32,2650000,63095,3281.0,42,2023-02-03
Södermalm,Heleneborgsgatan 30,4500000,97826,2451.0,46,2023-02-02
Östermalm,"Körsbärsvägen 10, 5tr",5025000,94811,2664.0,53,2023-02-02
Vasastan,"Anna Steckséns Gata 15, 10 tr",4900000,128947,2387.0,38,2023-02-02
Vasastan,Hälsingegatan 10B,5760000,108679,2912.0,53,2023-02-02
Södermalm,"Lorensbergsgatan 5B, 5 tr",4500000,118421,1878.0,38,2023-02-02
Södermalm,Ringvägen 124,3350000,88158,1651.0,38,2023-02-02
Vasastan,"Tulegatan 42, 6tr",4900000,100000,2528.0,49,2023-02-02
Östermalm,"Eriksbergsgatan 1A, 5tr",6900000,127778,1770.0,54,2023-02-02
Vasastan,"Karlbergsvägen 29A, 1tr",6625000,120455,2531.0,55,2023-02-01
Östermalm,Valhallavägen 152B,5050000,105208,2006.0,48,2023-02-01
Vasastan,"Sankt Eriksgatan 87, 2tr",5350000,127381,1199.0,42,2023-02-01
Södermalm,"Maria Skolgata 77B, VÅN4",5050000,101000,3057.0,50,2023-02-01
Årsta,"Årstavägen 71, 3 tr",2970000,61237,3762.0,48,2023-02-01
Södermalm,Åsögatan 173,7615000,82772,5575.0,92,2023-02-01
Södermalm,"Reimersholmsgatan 8, 3 tr",4400000,91667,3135.0,48,2023-02-01
Södermalm,Lundagatan 48A,5300000,112766,2374.0,47,2023-02-01
Södermalm,"Borgargatan 6, 4 tr",5510000,96667,3052.0,57,2023-02-01
Södermalm,"Bondegatan 79, 2 tr",3920000,93333,2249.0,42,2023-02-01
Östermalm,Valhallavägen 164,6900000,127778,2688.0,54,2023-02-01
Södermalm,"Åsögatan 194, vån 4",5075000,101500,2797.0,50,2023-02-01
Södermalm,Heleneborgsgatan 52,4000000,119760,1820.0,33,2023-02-01
Vasastan,Tomtebogatan 40,4400000,122222,2018.0,36,2023-02-01
Södermalm,Pokalvägen 5,5825000,100431,3571.0,58,2023-02-01
Södermalm,Folkskolegatan 12,3500000,125000,2305.0,28,2023-02-01
Södermalm,Blekingegatan 36,4010000,95476,2146.0,42,2023-02-01
Vasastan,Vanadisvägen 7,5160000,86000,2720.0,60,2023-01-31
Årsta,Dellensvägen 35,2870000,56275,2884.0,51,2023-01-31
Årsta,"Siljansvägen 74, 5 / 7tr",3475000,63182,3764.0,55,2023-01-31
Vasastan,"Birkagatan 26, 4tr",6600000,103125,2952.0,64,2023-01-31
Vasastan,"Idungatan 8A, 2tr",6720000,122182,2205.0,55,2023-01-31
Södermalm,"Tavastgatan 15, 2 tr ACCEPTERAT PRIS",3400000,113333,2066.0,30,2023-01-31
Södermalm,"Åsögatan 92, 1 tr",5600000,100000,3245.0,56,2023-01-31
Södermalm,Bergsundsgatan 14,3350000,81707,3288.0,41,2023-01-31
Östermalm,"Wittstocksgatan 2, 1 / 2 tr",7600000,122581,3366.0,62,2023-01-31
Östermalm,Nybrogatan 62,5100000,124390,1072.0,41,2023-01-31
Årsta,Åmänningevägen 23,2590000,61667,3449.0,42,2023-01-31
Vasastan,Torsgatan 78,3995000,90795,2699.0,44,2023-01-31
Vasastan,"Sankt Eriksgatan 85A, mot gård",5150000,100980,1346.0,51,2023-01-31
Östermalm,Rådmansgatan 11,4375000,121528,1038.0,36,2023-01-31
Vasastan,"Vanadisplan 1, 3 tr",5550000,113265,1901.0,49,2023-01-31
